total_rows	column_name	true_count	false_count	true_percentage
141472358	0PhysicalSpecimenID	141472357	1	99.99999929314814
141472358	0Organization	132732709	8739649	93.822362810974
141472358	1Name	140240134	1232224	99.12900016835798
141472358	1ObjectType	57991798	83480560	40.991610530729965
141472358	1License	141472296	62	99.99995617518441
141472358	1Modified	74550017	66922341	52.69581850045929
141472358	2QualitativeLocation	130301381	11170977	92.10377408143574
141472358	2QuantitativeLocation	78565114	62907244	55.53389730027685
141472358	2CollectingAgent	106047371	35424987	74.95978189605069
141472358	2DateCollected	109991560	31480798	77.74773924387407
141472358	2CollectingNumber	52616265	88856093	37.191905008044046
141472358	2Media	131714990	9757368	93.10298623848483
141472358	3GeographicalLocalityID	12508602	128963756	8.841728643555937
141472358	3OrganizationID	43141902	98330456	30.49493385838667
141472358	3CollectingAgentID	0	141472358	0
141472358	3IdentifiedAsID	140239572	1232786	99.12860291761024
141472358	3IdentifiedByID	0	141472358	0
141472358	3MediaID	131355710	10116648	92.84902850067715
